,과정명,학원명,기간,훈련비,정원,취업률,연령대,지역1,지역2,NCS분야,과정
0,네이버 쇼핑몰 제작,부산나래디자인학원,38,1035600,10,70.2,48.0,부산,중구,10_영업판매,쇼핑몰제작
1,쇼핑몰(오픈마켓/스마트스토어/스토어팜/B2B)판매자 양성,영등포평생교육원,50,1380800,20,42.4,48.0,서울,영등포구,10_영업판매,쇼핑몰운영
2,해외 인터넷 쇼핑몰(아마존) 판매 기초 실무,씨이오창조인재개발원,50,1380800,15,53.3,41.0,경기,고양시,10_영업판매,쇼핑몰운영
3,전자상거래 쇼핑몰 홈페이지 사이트 구축,열린컴퓨터학원,40,1380800,10,43.3,35.0,대전,대덕구,10_영업판매,쇼핑몰제작
4,"쇼핑몰(오픈마켓,스마트스토어) 판매자 양성과정",서울IT직업전문학교,40,1380800,20,43.9,44.0,서울,마포구,10_영업판매,쇼핑몰운영
5,"쇼핑몰디자인 및 구축운영(포토샵, 사진촬영, 마케팅, 오픈마켓)",(주)미래인재개발원,40,1380800,24,54.2,33.0,대구,중구,10_영업판매,쇼핑몰제작
6,"글로벌셀러(이베이, 아마존) 양성 과정",서울IT직업전문학교,12,414240,20,43.9,38.0,서울,마포구,10_영업판매,쇼핑몰운영
7,"글로벌셀러(이베이, 아마존) 양성 과정",서울IT직업전문학교,12,414240,20,43.9,38.0,서울,마포구,10_영업판매,쇼핑몰운영
8,쇼핑몰 상품사진 촬영 및 상세페이지(이미지) 리터칭 과정,서울IT직업전문학교,10,345200,20,43.9,39.0,서울,마포구,10_영업판매,쇼핑몰관리
9,네이버 쇼핑몰 제작,부산나래디자인학원,38,1035600,10,70.2,45.0,부산,중구,10_영업판매,쇼핑몰제작
10,쇼핑몰(오픈마켓/스마트스토어/스토어팜/B2B)판매자 양성,영등포평생교육원,50,1380800,20,42.4,40.0,서울,영등포구,10_영업판매,쇼핑몰운영
11,카페24 쇼핑몰 구축과 운영,뉴컴퓨터학원,29,1380800,10,50.0,35.0,대전,서구,10_영업판매,쇼핑몰제작
12,"쇼핑몰(오픈마켓,스마트스토어) 판매자 양성과정",서울IT직업전문학교,40,1380800,20,43.9,45.0,서울,마포구,10_영업판매,쇼핑몰운영
13,전자상거래 오픈마켓 쇼핑몰 홈페이지 구축,열린컴퓨터학원,40,1380800,10,43.3,47.0,대전,대덕구,10_영업판매,쇼핑몰제작
14,네이버 쇼핑몰 제작,부산나래디자인학원,38,1035600,10,70.2,45.0,부산,중구,10_영업판매,쇼핑몰제작
15,해외 인터넷 쇼핑몰(아마존) 판매 기초 실무,씨이오창조인재개발원,51,1380800,15,53.3,35.0,경기,고양시,10_영업판매,쇼핑몰운영
16,쇼핑몰(오픈마켓/스마트스토어/스토어팜/B2B)판매자 양성,영등포평생교육원,50,1380800,20,42.4,44.0,서울,영등포구,10_영업판매,쇼핑몰운영
17,쇼핑몰(카페24) 구축 및 판매자 양성과정,서울IT직업전문학교,14,552320,20,43.9,39.0,서울,마포구,10_영업판매,쇼핑몰제작
18,포토샵/일러스트 활용 오픈마켓/쇼핑몰 상세페이지 마케팅(온라인 마케팅1),와이리더스 컴퓨터학원,41,1380800,12,50.0,31.0,서울,광진구,10_영업판매,쇼핑몰관리
19,쇼핑몰 웹디자인,부산나래디자인학원,45,1242720,10,70.2,45.0,부산,중구,10_영업판매,쇼핑몰관리
20,카페24 쇼핑몰 구축과 운영,뉴컴퓨터학원,50,1380800,10,50.0,32.0,대전,서구,10_영업판매,쇼핑몰제작
21,카페24 쇼핑몰 구축과 운영,뉴컴퓨터학원,40,1380800,10,50.0,46.0,대전,서구,10_영업판매,쇼핑몰제작
22,전자상거래 오픈마켓 쇼핑몰 홈페이지 구축,열린컴퓨터학원,40,1380800,10,43.3,41.0,대전,대덕구,10_영업판매,쇼핑몰제작
23,"쇼핑몰디자인 및 구축운영(포토샵, 사진촬영, 마케팅, 오픈마켓)",(주)미래인재개발원,40,1380800,24,54.2,38.0,대구,중구,10_영업판매,쇼핑몰제작
24,쇼핑몰(오픈마켓/스마트스토어/스토어팜/B2B)판매자 양성,영등포평생교육원,50,1380800,20,42.4,42.0,서울,영등포구,10_영업판매,쇼핑몰운영
25,"글로벌셀러(이베이, 아마존) 양성 과정",서울IT직업전문학교,12,414240,20,43.9,39.0,서울,마포구,10_영업판매,쇼핑몰운영
26,쇼핑몰 웹디자인,부산나래디자인학원,45,1242720,10,70.2,42.0,부산,중구,10_영업판매,쇼핑몰관리
27,쇼핑몰 상품사진 촬영 및 상세페이지(이미지) 리터칭 과정,서울IT직업전문학교,10,345200,20,43.9,40.0,서울,마포구,10_영업판매,쇼핑몰관리
28,해외 인터넷 쇼핑몰(아마존) 판매 기초 실무,씨이오창조인재개발원,50,1380800,15,53.3,33.0,경기,고양시,10_영업판매,쇼핑몰운영
29,"쇼핑몰(오픈마켓,스마트스토어) 판매자 양성과정",서울IT직업전문학교,40,1380800,20,43.9,44.0,서울,마포구,10_영업판매,쇼핑몰운영
30,쇼핑몰(오픈마켓/스마트스토어/스토어팜/B2B)판매자 양성,영등포평생교육원,50,1380800,20,42.4,46.0,서울,영등포구,10_영업판매,쇼핑몰운영
31,"글로벌셀러(이베이, 아마존) 양성 과정",서울IT직업전문학교,20,414240,20,43.9,36.0,서울,마포구,10_영업판매,쇼핑몰운영
32,해외 인터넷 쇼핑몰(아마존) 판매 기초 실무,씨이오창조인재개발원,50,1380800,15,53.3,41.0,경기,고양시,10_영업판매,쇼핑몰운영
33,쇼핑몰(카페24+오픈마켓+스마트스토어) 관리자양성,고양여성인력개발센터,33,911320,20,60.0,41.0,경기,고양시,10_영업판매,쇼핑몰관리
34,네이버 쇼핑몰 제작,부산나래디자인학원,38,1035600,10,70.2,38.0,부산,중구,10_영업판매,쇼핑몰제작
35,"쇼핑몰 구축 및 운영 (오픈마켓, 마케팅, 개인쇼핑몰 구축)",(주)미래인재개발원,40,1380800,24,54.2,38.0,대구,중구,10_영업판매,쇼핑몰제작
36,쇼핑몰(오픈마켓/스마트스토어/스토어팜/B2B)판매자 양성,영등포평생교육원,50,1380800,20,42.4,42.0,서울,영등포구,10_영업판매,쇼핑몰운영
37,"글로벌셀러(이베이, 아마존) 양성 과정",서울IT직업전문학교,12,414240,20,43.9,38.0,서울,마포구,10_영업판매,쇼핑몰운영
38,"쇼핑몰(오픈마켓,스마트스토어) 판매자 양성과정",서울IT직업전문학교,40,1380800,20,43.9,42.0,서울,마포구,10_영업판매,쇼핑몰운영
39,전자상거래 오픈마켓 쇼핑몰 홈페이지 구축,열린컴퓨터학원,40,1380800,10,43.3,37.0,대전,대덕구,10_영업판매,쇼핑몰제작
40,쇼핑몰 상품사진 촬영 및 상세페이지(이미지) 리터칭 과정,서울IT직업전문학교,10,345200,20,43.9,39.0,서울,마포구,10_영업판매,쇼핑몰관리
41,카페24 쇼핑몰 구축과 운영,뉴컴퓨터학원,40,1380800,10,50.0,32.0,대전,서구,10_영업판매,쇼핑몰제작
42,쇼핑몰 상품사진 촬영 및 상세페이지(이미지) 리터칭 과정,서울IT직업전문학교,10,345200,20,43.9,37.0,서울,마포구,10_영업판매,쇼핑몰관리
43,포토샵/일러스트 활용 오픈마켓/쇼핑몰 상세페이지 마케팅(온라인 마케팅1),와이리더스 컴퓨터학원,40,1380800,12,50.0,35.0,서울,광진구,10_영업판매,쇼핑몰관리
44,쇼핑몰(오픈마켓/스마트스토어/스토어팜/B2B)판매자 양성,영등포평생교육원,50,1380800,20,42.4,39.0,서울,영등포구,10_영업판매,쇼핑몰운영
45,"쇼핑몰(오픈마켓,스마트스토어) 판매자 양성과정",서울IT직업전문학교,40,1380800,20,43.9,38.0,서울,마포구,10_영업판매,쇼핑몰운영
46,해외 인터넷 쇼핑몰(아마존) 판매 기초 실무,씨이오창조인재개발원,50,1380800,15,53.3,39.0,경기,고양시,10_영업판매,쇼핑몰운영
47,카페24로 온라인 쇼핑몰 구축과 운영,뉴컴퓨터학원,69,952750,10,50.0,49.0,대전,서구,10_영업판매,쇼핑몰제작
48,네이버 쇼핑몰 제작,부산나래디자인학원,38,1035600,10,70.2,39.0,부산,중구,10_영업판매,쇼핑몰제작
49,"온라인 오픈마켓 판매와 운영(스마트스토어, 옥션, 지마켓)",뉴컴퓨터학원,69,952750,10,50.0,48.0,대전,서구,10_영업판매,쇼핑몰운영
50,웹디자인&쇼핑몰 제작,부산나래디자인학원,45,1242720,10,70.2,34.0,부산,중구,10_영업판매,쇼핑몰제작
51,쇼핑몰구축운영(오픈마켓/스토어팜/마케팅),윤성회계캐드컴퓨터학원,40,1380800,15,26.3,37.0,대구,북구,10_영업판매,쇼핑몰제작
52,쇼핑몰(카페24+오픈마켓+스마트스토어) 관리자양성,고양여성인력개발센터,33,911320,20,60.0,45.0,경기,고양시,10_영업판매,쇼핑몰관리
53,전자상거래 오픈마켓 쇼핑몰 홈페이지 구축,열린컴퓨터학원,40,1380800,10,43.3,35.0,대전,대덕구,10_영업판매,쇼핑몰제작
54,쇼핑몰(오픈마켓/스마트스토어/스토어팜/B2B)판매자 양성,영등포평생교육원,50,1380800,20,42.4,41.0,서울,영등포구,10_영업판매,쇼핑몰운영
55,"쇼핑몰(오픈마켓,스마트스토어) 판매자 양성과정",서울IT직업전문학교,40,1380800,20,43.9,42.0,서울,마포구,10_영업판매,쇼핑몰운영
56,"온라인 오픈마켓 판매와 운영(스마트스토어, 옥션, 지마켓)",뉴컴퓨터학원,28,952750,10,50.0,42.0,대전,서구,10_영업판매,쇼핑몰운영
57,쇼핑몰 판매자 양성(오픈마켓/스마트스토어/B2B/마케팅),영등포평생교육원,50,1380800,20,42.4,39.0,서울,영등포구,10_영업판매,쇼핑몰운영
58,웹디자인&쇼핑몰 제작,부산나래디자인학원,45,1242720,10,70.2,44.0,부산,중구,10_영업판매,쇼핑몰제작
59,포토샵/일러스트 활용 오픈마켓/쇼핑몰 상세페이지 마케팅(온라인 마케팅1),와이리더스 컴퓨터학원,40,1380800,12,50.0,36.0,서울,광진구,10_영업판매,쇼핑몰관리
60,"쇼핑몰(오픈마켓,스마트스토어) 판매자 양성과정",서울IT직업전문학교,40,1380800,20,43.9,38.0,서울,마포구,10_영업판매,쇼핑몰운영
61,쇼핑몰(오픈마켓/스마트스토어/스토어팜/B2B)판매자 양성,영등포평생교육원,50,1380800,20,42.4,46.0,서울,영등포구,10_영업판매,쇼핑몰운영
62,쇼핑몰 상품사진 촬영 및 상세페이지(이미지) 리터칭 과정,서울IT직업전문학교,10,345200,20,43.9,33.0,서울,마포구,10_영업판매,쇼핑몰관리
63,쇼핑몰구축운영(오픈마켓/스토어팜/마케팅),윤성회계캐드컴퓨터학원,40,1380800,15,26.3,,대구,북구,10_영업판매,쇼핑몰제작
64,쇼핑몰(카페24+오픈마켓+스마트스토어) 관리자양성,고양여성인력개발센터,33,911320,20,60.0,,경기,고양시,10_영업판매,쇼핑몰관리
65,웹디자인&쇼핑몰 제작,부산나래디자인학원,45,1242720,10,70.2,37.0,부산,중구,10_영업판매,쇼핑몰제작
66,"쇼핑몰 운영,구축",부산나래디자인학원,28,966560,10,70.2,,부산,중구,10_영업판매,쇼핑몰제작
67,"글로벌셀러(이베이, 아마존) 양성 과정",서울IT직업전문학교,12,414240,20,43.9,40.0,서울,마포구,10_영업판매,쇼핑몰운영
68,전자상거래 쇼핑몰 구축 및 마케팅관리,열린컴퓨터학원,40,1380800,10,43.3,,대전,대덕구,10_영업판매,쇼핑몰제작
69,"온라인 오픈마켓 판매와 운영(스마트스토어, 옥션, 지마켓)",뉴컴퓨터학원,28,952750,10,50.0,43.0,대전,서구,10_영업판매,쇼핑몰운영
70,카페24로 온라인 쇼핑몰 구축과 운영,뉴컴퓨터학원,46,952750,10,50.0,,대전,서구,10_영업판매,쇼핑몰제작
71,"쇼핑몰(오픈마켓,스마트스토어) 셀러 양성과정",서울IT직업전문학교,40,1380800,20,43.9,,서울,마포구,10_영업판매,쇼핑몰운영
72,쇼핑몰(오픈마켓/스마트스토어/스토어팜/B2B)판매자 양성,영등포평생교육원,50,1380800,20,42.4,,서울,영등포구,10_영업판매,쇼핑몰운영
73,웹디자인&쇼핑몰 제작,부산나래디자인학원,45,1242720,10,70.2,,부산,중구,10_영업판매,쇼핑몰제작
